Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
17,"[('high_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",690,335,0.4855072463768116,342,335,0.97953216374269,0.6492248062015503,690,563,0.8159420289855073
18,"[('high_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",949,342,0.36075949367088606,342,342,1.0,0.5302325581395348,949,856,0.9020021074815595
19,"[('low_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",3130,342,0.10930009587727708,342,342,1.0,0.19706136560069143,3130,2905,0.9281150159744409
20,"[('low_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",466,313,0.6716738197424893,342,313,0.9152046783625731,0.7747524752475247,466,371,0.796137339055794
21,"[('low_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",69,58,0.8405797101449275,342,58,0.1695906432748538,0.2822384428223844,69,40,0.5797101449275363
22,"[('medium_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",772,338,0.4383916990920882,342,338,0.9883040935672515,0.6073674752920036,772,622,0.805699481865285
23,"[('medium_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",335,284,0.8477611940298507,342,284,0.8304093567251462,0.8389955686853766,335,282,0.8417910447761194
24,"[('medium_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",190,184,0.968421052631579,342,184,0.5380116959064327,0.6917293233082706,190,156,0.8210526315789474
25,"[('high_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",1082,341,0.3154486586493987,342,341,0.9970760233918129,0.4792691496837667,1082,926,0.8558225508317929
26,"[('high_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",363,289,0.7961432506887053,342,289,0.8450292397660819,0.819858156028369,363,295,0.8126721763085399
27,"[('high_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",347,273,0.7890173410404624,342,273,0.7982456140350878,0.7936046511627908,347,276,0.7953890489913544
28,"[('low_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",2179,342,0.15695273061037174,342,342,1.0,0.2713209044030147,2179,1997,0.9164754474529601
29,"[('low_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",1250,342,0.27381905524419536,342,342,1.0,0.4299182903834066,1250,1054,0.8432
30,"[('low_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",236,197,0.8347457627118644,342,197,0.5760233918128655,0.6816608996539792,236,171,0.7245762711864406
31,"[('medium_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",348,276,0.7931034482758621,342,276,0.8070175438596491,0.8,348,276,0.7931034482758621
32,"[('medium_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",662,341,0.5151057401812689,342,341,0.9970760233918129,0.6792828685258965,662,574,0.8670694864048338
33,"[('medium_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",287,254,0.8850174216027874,342,254,0.7426900584795322,0.807631160572337,287,237,0.8257839721254355
34,"[('high_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",241,200,0.8298755186721992,342,200,0.5847953216374269,0.686106346483705,241,175,0.7261410788381742
35,"[('high_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",678,340,0.5014749262536873,342,340,0.9941520467836257,0.6666666666666665,678,557,0.8215339233038348
36,"[('high_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",873,341,0.39105504587155965,342,341,0.9970760233918129,0.5617792421746293,873,778,0.8911798396334479
37,"[('low_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",1969,342,0.17369222955815133,342,342,1.0,0.29597576806577236,1969,1743,0.8852209243270696
38,"[('low_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",561,328,0.5846702317290553,342,328,0.9590643274853801,0.7264673311184939,561,452,0.8057040998217468
39,"[('low_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",1135,342,0.3013215859030837,342,342,1.0,0.46310088016249157,1135,976,0.8599118942731278
40,"[('medium_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",786,336,0.4280254777070064,342,336,0.9824561403508771,0.5962732919254659,786,656,0.8346055979643766
41,"[('medium_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",189,182,0.9629629629629629,342,182,0.5321637426900585,0.6854990583804145,189,161,0.8518518518518519
42,"[('medium_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",322,285,0.8850931677018633,342,285,0.8333333333333334,0.858433734939759,322,278,0.8633540372670807
43,"[('high_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",1125,342,0.304,342,342,1.0,0.4662576687116564,1125,988,0.8782222222222222
44,"[('high_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",346,288,0.8323699421965318,342,288,0.8421052631578947,0.8372093023255813,346,289,0.8352601156069365
45,"[('high_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",321,266,0.8286604361370716,342,266,0.7777777777777778,0.8024132730015083,321,261,0.8130841121495327
46,"[('low_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",2891,342,0.11833910034602076,342,342,1.0,0.21163366336633663,2891,2694,0.9318574887582152
47,"[('low_protein', 'HasProteinLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",635,333,0.5244094488188976,342,333,0.9736842105263158,0.6816786079836233,635,520,0.8188976377952756
48,"[('low_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",139,119,0.8561151079136691,342,119,0.347953216374269,0.4948024948024948,139,90,0.6474820143884892
49,"[('medium_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",591,330,0.5583756345177665,342,330,0.9649122807017544,0.707395498392283,591,484,0.8189509306260575
50,"[('medium_protein', 'HasProteinLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",406,327,0.8054187192118226,342,327,0.956140350877193,0.874331550802139,406,362,0.8916256157635468
51,"[('medium_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",300,252,0.84,342,252,0.7368421052631579,0.7850467289719626,300,235,0.7833333333333333
52,"[('high_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",233,193,0.8283261802575107,342,193,0.564327485380117,0.671304347826087,233,167,0.7167381974248928
53,"[('high_protein', 'HasProteinLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",470,303,0.6460554371002132,342,303,0.8859649122807017,0.7472256473489519,470,370,0.7872340425531915
54,"[('high_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",1089,340,0.3125,342,340,0.9941520467836257,0.4755244755244756,1089,989,0.9081726354453628
55,"[('low_protein', 'HasProteinLevel'), ('low_calorie', 'HasCalorieLevel')]",3086,342,0.11085899513776337,342,342,1.0,0.19959147942807118,3086,2889,0.9361633182112767
56,"[('low_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel')]",534,328,0.6142322097378277,342,328,0.9590643274853801,0.7488584474885844,534,433,0.8108614232209738
57,"[('low_protein', 'HasProteinLevel'), ('high_calorie', 'HasCalorieLevel')]",45,43,0.9555555555555556,342,43,0.12573099415204678,0.22222222222222224,45,27,0.6
58,"[('medium_protein', 'HasProteinLevel'), ('low_calorie', 'HasCalorieLevel')]",571,326,0.5709281961471103,342,326,0.9532163742690059,0.714129244249726,571,459,0.8038528896672504
59,"[('medium_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel')]",674,333,0.4940652818991098,342,333,0.9736842105263158,0.655511811023622,674,567,0.841246290801187
60,"[('medium_protein', 'HasProteinLevel'), ('high_calorie', 'HasCalorieLevel')]",52,52,1.0,342,52,0.15204678362573099,0.2639593908629442,52,40,0.7692307692307693
61,"[('high_protein', 'HasProteinLevel'), ('low_calorie', 'HasCalorieLevel')]",271,230,0.8518518518518519,342,230,0.672514619883041,0.7516339869281046,271,201,0.7416974169741697
62,"[('high_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel')]",1141,340,0.2979842243645925,342,340,0.9941520467836257,0.45853000674308836,1141,979,0.8580192813321648
63,"[('high_protein', 'HasProteinLevel'), ('high_calorie', 'HasCalorieLevel')]",380,287,0.7572559366754618,342,287,0.8391812865497076,0.7961165048543689,380,305,0.8026315789473685
64,"[('low_protein', 'HasProteinLevel'), ('breakfast', 'isForMealType')]",271,213,0.7859778597785978,342,213,0.6228070175438597,0.6949429037520392,271,191,0.7047970479704797
65,"[('low_protein', 'HasProteinLevel'), ('lunch', 'isForMealType')]",384,282,0.734375,342,282,0.8245614035087719,0.7768595041322315,384,293,0.7630208333333334
66,"[('low_protein', 'HasProteinLevel'), ('dinner', 'isForMealType')]",204,172,0.8431372549019608,342,172,0.5029239766081871,0.63003663003663,204,147,0.7205882352941176
67,"[('low_protein', 'HasProteinLevel'), ('snack', 'isForMealType')]",492,310,0.6300813008130082,342,310,0.9064327485380117,0.7434052757793765,492,378,0.7682926829268293
68,"[('low_protein', 'HasProteinLevel'), ('dessert', 'isForMealType')]",793,336,0.42370744010088274,342,336,0.9824561403508771,0.5920704845814978,793,655,0.8259773013871374
69,"[('low_protein', 'HasProteinLevel'), ('starter', 'isForMealType')]",710,334,0.4704225352112676,342,334,0.9766081871345029,0.6349809885931559,710,583,0.8211267605633803
70,"[('low_protein', 'HasProteinLevel'), ('brunch', 'isForMealType')]",406,288,0.7093596059113301,342,288,0.8421052631578947,0.770053475935829,406,317,0.7807881773399015
71,"[('low_protein', 'HasProteinLevel'), ('drink', 'isForMealType')]",405,291,0.7185185185185186,342,291,0.8508771929824561,0.7791164658634538,405,319,0.7876543209876543
72,"[('medium_protein', 'HasProteinLevel'), ('breakfast', 'isForMealType')]",159,157,0.9874213836477987,342,157,0.4590643274853801,0.626746506986028,159,124,0.779874213836478
73,"[('medium_protein', 'HasProteinLevel'), ('lunch', 'isForMealType')]",271,249,0.9188191881918819,342,249,0.7280701754385965,0.8123980424143556,271,235,0.8671586715867159
74,"[('medium_protein', 'HasProteinLevel'), ('dinner', 'isForMealType')]",132,130,0.9848484848484849,342,130,0.38011695906432746,0.5485232067510548,132,106,0.803030303030303
75,"[('medium_protein', 'HasProteinLevel'), ('snack', 'isForMealType')]",179,172,0.9662921348314607,342,172,0.5029239766081871,0.6615384615384615,179,157,0.8770949720670391
76,"[('medium_protein', 'HasProteinLevel'), ('dessert', 'isForMealType')]",165,162,0.9818181818181818,342,162,0.47368421052631576,0.6390532544378698,165,136,0.8242424242424242
77,"[('medium_protein', 'HasProteinLevel'), ('starter', 'isForMealType')]",199,195,0.9798994974874372,342,195,0.5701754385964912,0.7208872458410351,199,175,0.8793969849246231
78,"[('medium_protein', 'HasProteinLevel'), ('brunch', 'isForMealType')]",155,153,0.9870967741935484,342,153,0.4473684210526316,0.6156941649899396,155,134,0.864516129032258
79,"[('medium_protein', 'HasProteinLevel'), ('drink', 'isForMealType')]",37,37,1.0,342,37,0.10818713450292397,0.19525065963060687,37,27,0.7297297297297297
80,"[('high_protein', 'HasProteinLevel'), ('breakfast', 'isForMealType')]",122,116,0.9508196721311475,342,116,0.3391812865497076,0.4999999999999999,122,96,0.7868852459016393
81,"[('high_protein', 'HasProteinLevel'), ('lunch', 'isForMealType')]",359,280,0.7799442896935933,342,280,0.8187134502923976,0.7988587731811697,359,287,0.7994428969359332
82,"[('high_protein', 'HasProteinLevel'), ('dinner', 'isForMealType')]",622,332,0.534621578099839,342,332,0.9707602339181286,0.6895119418483905,622,530,0.8520900321543409
83,"[('high_protein', 'HasProteinLevel'), ('snack', 'isForMealType')]",168,162,0.9642857142857143,342,162,0.47368421052631576,0.6352941176470588,168,129,0.7678571428571429
84,"[('high_protein', 'HasProteinLevel'), ('dessert', 'isForMealType')]",61,59,0.9672131147540983,342,59,0.17251461988304093,0.29280397022332505,61,43,0.7049180327868853
85,"[('high_protein', 'HasProteinLevel'), ('starter', 'isForMealType')]",238,215,0.9071729957805907,342,215,0.6286549707602339,0.7426597582037997,238,189,0.7941176470588235
86,"[('high_protein', 'HasProteinLevel'), ('brunch', 'isForMealType')]",213,194,0.9107981220657277,342,194,0.5672514619883041,0.6990990990990992,213,166,0.7793427230046949
87,"[('high_protein', 'HasProteinLevel'), ('drink', 'isForMealType')]",9,9,1.0,342,9,0.02631578947368421,0.05128205128205127,9,3,0.3333333333333333
88,"[('low_protein', 'HasProteinLevel'), ('vegetarian', 'hasDietType')]",1177,342,0.2905692438402719,342,342,1.0,0.4502962475312706,1177,1003,0.8521665250637214
89,"[('low_protein', 'HasProteinLevel'), ('vegan', 'hasDietType')]",1210,342,0.28287841191067,342,342,1.0,0.4410058027079304,1210,1008,0.8330578512396695
90,"[('low_protein', 'HasProteinLevel'), ('paleo', 'hasDietType')]",27,24,0.8888888888888888,342,24,0.07017543859649122,0.13008130081300814,27,15,0.5555555555555556
91,"[('low_protein', 'HasProteinLevel'), ('standard', 'hasDietType')]",752,338,0.449468085106383,342,338,0.9883040935672515,0.6179159049360146,752,622,0.8271276595744681
92,"[('medium_protein', 'HasProteinLevel'), ('vegetarian', 'hasDietType')]",453,329,0.7262693156732892,342,329,0.9619883040935673,0.8276729559748428,453,394,0.869757174392936
93,"[('medium_protein', 'HasProteinLevel'), ('vegan', 'hasDietType')]",225,210,0.9333333333333333,342,210,0.6140350877192983,0.7407407407407409,225,185,0.8222222222222222
94,"[('medium_protein', 'HasProteinLevel'), ('paleo', 'hasDietType')]",63,62,0.9841269841269841,342,62,0.18128654970760233,0.30617283950617286,63,44,0.6984126984126984
95,"[('medium_protein', 'HasProteinLevel'), ('standard', 'hasDietType')]",362,304,0.8421052631578947,342,304,0.8888888888888888,0.8648648648648649,362,311,0.8591160220994475
96,"[('high_protein', 'HasProteinLevel'), ('vegetarian', 'hasDietType')]",264,231,0.875,342,231,0.6754385964912281,0.7623762376237624,264,207,0.7840909090909091
97,"[('high_protein', 'HasProteinLevel'), ('vegan', 'hasDietType')]",129,120,0.9302325581395349,342,120,0.3508771929824561,0.5095541401273885,129,95,0.7364341085271318
98,"[('high_protein', 'HasProteinLevel'), ('paleo', 'hasDietType')]",317,256,0.807570977917981,342,256,0.7485380116959064,0.7769347496206374,317,247,0.7791798107255521
99,"[('high_protein', 'HasProteinLevel'), ('standard', 'hasDietType')]",748,338,0.45308310991957107,342,338,0.9883040935672515,0.6213235294117647,748,644,0.8609625668449198
100,"[('low_protein', 'HasProteinLevel'), ('global', 'isFromRegion')]",812,340,0.4187192118226601,342,340,0.9941520467836257,0.5892547660311959,812,671,0.8263546798029556
101,"[('low_protein', 'HasProteinLevel'), ('asia', 'isFromRegion')]",394,276,0.700507614213198,342,276,0.8070175438596491,0.7499999999999999,394,299,0.7588832487309645
102,"[('low_protein', 'HasProteinLevel'), ('north_america', 'isFromRegion')]",956,341,0.35706806282722514,342,341,0.9970760233918129,0.5258288357748652,956,797,0.8336820083682008
103,"[('low_protein', 'HasProteinLevel'), ('europe', 'isFromRegion')]",713,340,0.47685834502103785,342,340,0.9941520467836257,0.6445497630331753,713,592,0.8302945301542777
104,"[('low_protein', 'HasProteinLevel'), ('middle_east', 'isFromRegion')]",238,191,0.8025210084033614,342,191,0.5584795321637427,0.6586206896551724,238,168,0.7058823529411765
105,"[('low_protein', 'HasProteinLevel'), ('latin_america_and_caribbean', 'isFromRegion')]",149,133,0.8926174496644296,342,133,0.3888888888888889,0.5417515274949083,149,107,0.7181208053691275
106,"[('low_protein', 'HasProteinLevel'), ('oceania', 'isFromRegion')]",235,194,0.825531914893617,342,194,0.5672514619883041,0.6724436741767764,235,170,0.723404255319149
107,"[('low_protein', 'HasProteinLevel'), ('africa', 'isFromRegion')]",168,141,0.8392857142857143,342,141,0.41228070175438597,0.5529411764705883,168,111,0.6607142857142857
108,"[('medium_protein', 'HasProteinLevel'), ('global', 'isFromRegion')]",210,200,0.9523809523809523,342,200,0.5847953216374269,0.7246376811594203,210,175,0.8333333333333334
109,"[('medium_protein', 'HasProteinLevel'), ('asia', 'isFromRegion')]",171,168,0.9824561403508771,342,168,0.49122807017543857,0.6549707602339181,171,146,0.8538011695906432
110,"[('medium_protein', 'HasProteinLevel'), ('north_america', 'isFromRegion')]",323,285,0.8850931677018633,342,285,0.8333333333333334,0.858433734939759,323,280,0.8668730650154799
111,"[('medium_protein', 'HasProteinLevel'), ('europe', 'isFromRegion')]",239,235,0.9832635983263598,342,235,0.6871345029239766,0.8089500860585198,239,212,0.8870292887029289
112,"[('medium_protein', 'HasProteinLevel'), ('middle_east', 'isFromRegion')]",97,95,0.979381443298969,342,95,0.2777777777777778,0.43280182232346237,97,82,0.845360824742268
113,"[('medium_protein', 'HasProteinLevel'), ('latin_america_and_caribbean', 'isFromRegion')]",71,71,1.0,342,71,0.20760233918128654,0.3438256658595642,71,60,0.8450704225352113
114,"[('medium_protein', 'HasProteinLevel'), ('oceania', 'isFromRegion')]",91,91,1.0,342,91,0.26608187134502925,0.42032332563510394,91,77,0.8461538461538461
115,"[('medium_protein', 'HasProteinLevel'), ('africa', 'isFromRegion')]",95,93,0.9789473684210527,342,93,0.2719298245614035,0.42562929061784893,95,76,0.8
116,"[('high_protein', 'HasProteinLevel'), ('global', 'isFromRegion')]",238,227,0.9578059071729957,342,227,0.6637426900584795,0.7841105354058723,238,205,0.8613445378151261
117,"[('high_protein', 'HasProteinLevel'), ('asia', 'isFromRegion')]",234,216,0.9230769230769231,342,216,0.631578947368421,0.7499999999999999,234,185,0.7905982905982906
118,"[('high_protein', 'HasProteinLevel'), ('north_america', 'isFromRegion')]",441,317,0.7188208616780045,342,317,0.9269005847953217,0.80970625798212,441,364,0.8253968253968254
119,"[('high_protein', 'HasProteinLevel'), ('europe', 'isFromRegion')]",321,265,0.8255451713395638,342,265,0.7748538011695907,0.7993966817496229,321,259,0.8068535825545171
120,"[('high_protein', 'HasProteinLevel'), ('middle_east', 'isFromRegion')]",152,146,0.9605263157894737,342,146,0.4269005847953216,0.5910931174089069,152,111,0.7302631578947368
121,"[('high_protein', 'HasProteinLevel'), ('latin_america_and_caribbean', 'isFromRegion')]",121,114,0.9421487603305785,342,114,0.3333333333333333,0.4924406047516198,121,88,0.7272727272727273
122,"[('high_protein', 'HasProteinLevel'), ('oceania', 'isFromRegion')]",150,142,0.9466666666666667,342,142,0.4152046783625731,0.5772357723577236,150,113,0.7533333333333333
123,"[('high_protein', 'HasProteinLevel'), ('africa', 'isFromRegion')]",135,129,0.9555555555555556,342,129,0.37719298245614036,0.5408805031446542,135,100,0.7407407407407407
124,"[('low_protein', 'HasProteinLevel'), ('less_than_60_mins', 'needTimeToCook')]",794,342,0.43073047858942065,342,342,1.0,0.602112676056338,794,673,0.8476070528967254
125,"[('low_protein', 'HasProteinLevel'), ('less_than_15_mins', 'needTimeToCook')]",645,329,0.5100775193798449,342,329,0.9619883040935673,0.6666666666666666,645,498,0.772093023255814
126,"[('low_protein', 'HasProteinLevel'), ('less_than_30_mins', 'needTimeToCook')]",821,340,0.41412911084043846,342,340,0.9941520467836257,0.58469475494411,821,671,0.8172959805115713
127,"[('low_protein', 'HasProteinLevel'), ('less_than_6_hours', 'needTimeToCook')]",338,262,0.7751479289940828,342,262,0.7660818713450293,0.7705882352941177,338,260,0.7692307692307693
128,"[('low_protein', 'HasProteinLevel'), ('less_than_4_hours', 'needTimeToCook')]",733,339,0.46248294679399726,342,339,0.9912280701754386,0.6306976744186047,733,589,0.8035470668485676
129,"[('low_protein', 'HasProteinLevel'), ('more_than_6_hours', 'needTimeToCook')]",334,246,0.7365269461077845,342,246,0.7192982456140351,0.7278106508875739,334,243,0.7275449101796407
130,"[('medium_protein', 'HasProteinLevel'), ('less_than_60_mins', 'needTimeToCook')]",323,285,0.8823529411764706,342,285,0.8333333333333334,0.8571428571428571,323,278,0.8606811145510835
131,"[('medium_protein', 'HasProteinLevel'), ('less_than_15_mins', 'needTimeToCook')]",195,188,0.9641025641025641,342,188,0.5497076023391813,0.7001862197392924,195,170,0.8717948717948718
132,"[('medium_protein', 'HasProteinLevel'), ('less_than_30_mins', 'needTimeToCook')]",241,232,0.9626556016597511,342,232,0.6783625730994152,0.7958833619210978,241,207,0.8589211618257261
133,"[('medium_protein', 'HasProteinLevel'), ('less_than_6_hours', 'needTimeToCook')]",125,121,0.9758064516129032,342,121,0.3538011695906433,0.5193133047210301,125,106,0.848
134,"[('medium_protein', 'HasProteinLevel'), ('less_than_4_hours', 'needTimeToCook')]",287,268,0.9337979094076655,342,268,0.783625730994152,0.8521462639109698,287,252,0.8780487804878049
135,"[('medium_protein', 'HasProteinLevel'), ('more_than_6_hours', 'needTimeToCook')]",126,125,0.9920634920634921,342,125,0.3654970760233918,0.5341880341880342,126,105,0.8333333333333334
136,"[('high_protein', 'HasProteinLevel'), ('less_than_60_mins', 'needTimeToCook')]",384,313,0.8151041666666666,342,313,0.9152046783625731,0.862258953168044,384,327,0.8515625
137,"[('high_protein', 'HasProteinLevel'), ('less_than_15_mins', 'needTimeToCook')]",212,195,0.9198113207547169,342,195,0.5701754385964912,0.7039711191335739,212,175,0.8254716981132075
138,"[('high_protein', 'HasProteinLevel'), ('less_than_30_mins', 'needTimeToCook')]",361,299,0.8282548476454293,342,299,0.8742690058479532,0.8506401137980086,361,310,0.8587257617728532
139,"[('high_protein', 'HasProteinLevel'), ('less_than_6_hours', 'needTimeToCook')]",188,178,0.9468085106382979,342,178,0.52046783625731,0.6716981132075472,188,152,0.8085106382978723
140,"[('high_protein', 'HasProteinLevel'), ('less_than_4_hours', 'needTimeToCook')]",419,301,0.7183770883054893,342,301,0.8801169590643275,0.7910643889618924,419,339,0.8090692124105012
141,"[('high_protein', 'HasProteinLevel'), ('more_than_6_hours', 'needTimeToCook')]",228,200,0.8771929824561403,342,200,0.5847953216374269,0.7017543859649122,228,173,0.7587719298245614
142,"[('low_protein', 'HasProteinLevel'), ('salt_product', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,2960,0.8076398362892224
143,"[('low_protein', 'HasProteinLevel'), ('garlic_clove', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,2769,0.7555252387448841
144,"[('low_protein', 'HasProteinLevel'), ('water_(eurofir)', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,3234,0.8824010914051842
145,"[('low_protein', 'HasProteinLevel'), ('sugar', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,3287,0.8968622100954979
146,"[('low_protein', 'HasProteinLevel'), ('flour', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,3147,0.858663028649386
147,"[('low_protein', 'HasProteinLevel'), ('chicken_egg', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,2992,0.8163710777626194
148,"[('low_protein', 'HasProteinLevel'), ('olive_oil', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,2980,0.8130968622100955
149,"[('low_protein', 'HasProteinLevel'), ('butter', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,3122,0.8518417462482947
150,"[('low_protein', 'HasProteinLevel'), ('onion', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,2922,0.7972714870395634
151,"[('low_protein', 'HasProteinLevel'), ('black_pepper_(ground)', 'contains')]",3665,341,0.09306768558951965,342,341,0.9970760233918129,0.17024463305042437,3665,3157,0.8613915416098227
152,"[('low_protein', 'HasProteinLevel'), ('lemon_juice', 'contains')]",3665,341,0.09306768558951965,342,341,0.9970760233918129,0.17024463305042437,3665,3351,0.9143246930422919
153,"[('low_protein', 'HasProteinLevel'), ('milk', 'contains')]",3665,338,0.09224890829694324,342,338,0.9883040935672515,0.1687468796804793,3665,3194,0.871487039563438
154,"[('low_protein', 'HasProteinLevel'), ('brown_sugar', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,3365,0.9181446111869032
155,"[('low_protein', 'HasProteinLevel'), ('tomato', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,3193,0.8712141882673943
156,"[('low_protein', 'HasProteinLevel'), ('pepper', 'contains')]",3665,342,0.09334061135371179,342,342,1.0,0.17074388417373937,3665,3174,0.8660300136425648
